p;438,556;
e;814,100;
e;62,100;
e;62,556;
e;814,556;
b;30,100;LadderPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
w;1;LadderPlatform;
w;1;NormalPlatform;
w;1;LadderPlatform;
TopBun
w;1;NormalPlatform;
w;1;LadderPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
TopBun
w;1;NormalPlatform;
w;1;LadderPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
TopBun
w;1;NormalPlatform;
w;1;LadderPlatform;
h;1;Ladder;
w;4;Ladder;
w;2;Ladder;
w;2;Ladder;
w;4;Ladder;
w;4;Ladder;
h;1;Ladder;
w;4;Ladder;
w;2;Ladder;
w;2;Ladder;
w;4;Ladder;
w;4;Ladder;
h;1;Ladder;
w;4;Ladder;
w;2;Ladder;
w;2;Ladder;
w;4;Ladder;
w;4;Ladder;
h;1;NormalPlatform;
w;1;NormalPlatform;
w;1;LadderPlatform;
TopBun
w;1;NormalPlatform;
w;1;LadderPlatform;
w;2;Ladder;
w;2;LadderPlatform;
w;1;NormalPlatform;
w;1;LadderPlatform;
Lettuce
w;1;NormalPlatform;
w;1;LadderPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
Lettuce
w;1;NormalPlatform
w;1;LadderPlatform;
hw;2;Ladder;
w;2;Ladder;
w;2;Ladder;
w;2;Ladder;
w;2;Ladder;
w;2;Ladder;
w;4;Ladder;
hw;2;Ladder;
w;2;LadderPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
w;1;LadderPlatform;
w;2;Ladder;
w;2;Ladder;
w;4;Ladder;
hw;2;Ladder;
w;2;Ladder;
w;4;Ladder;
w;2;Ladder;
w;2;Ladder;
w;4;Ladder;
h;1;LadderPlatform;
w;1;NormalPlatform;
w;1;LadderPlatform;
Lettuce
w;1;NormalPlatform;
w;1;LadderPlatform;
w;4;Ladder;
w;2;Ladder;
w;2;LadderPlatform;
w;1;NormalPlatform;
w;1;LadderPlatform;
Patty
w;1;NormalPlatform;
w;1;NormalPlatform;
h;1;Ladder;
w;2;Ladder;
w;2;Ladder;
w;4;Ladder;
w;2;Ladder;
w;2;Ladder;
w;2;Ladder;
h;1;Ladder;
w;2;Ladder;
w;2;LadderPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
Lettuce
w;1;NormalPlatform;
w;1;LadderPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
Patty
w;1;NormalPlatform;
w;1;LadderPlatform;
w;2;Ladder;
h;1;Ladder;
w;2;Ladder;
w;2;Ladder;
w;4;Ladder;
w;4;Ladder;
w;2;Ladder;
h;1;Ladder;
w;2;Ladder;
w;2;Ladder;
w;4;Ladder;
w;4;LadderPlatform;
w;1;NormalPlatform;
w;1;LadderPlatform;
BottomBun
w;1;NormalPlatform;
w;1;LadderPlatform;
h;1;Ladder;
w;2;Ladder;
w;2;Ladder;
w;4;Ladder;
w;4;Ladder;
w;2;Ladder;
w;2;Ladder;
h;1;LadderPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
Patty
w;1;NormalPlatform;
w;1;LadderPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
Patty
w;1;NormalPlatform;
w;1;LadderPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
w;1;LadderPlatform;
w;2;Ladder;
w;2;Ladder;
h;1;Ladder;
w;4;Ladder;
w;4;Ladder;
w;4;Ladder;
w;2;Ladder;
w;2;Ladder;
h;1;Ladder;
w;4;Ladder;
w;4;Ladder;
w;4;Ladder;
w;2;Ladder;
w;2;Ladder;
h;1;Ladder;
w;4;Ladder;
w;4;Ladder;
w;4;Ladder;
w;2;Ladder;
w;2;Ladder;
h;1;Ladder;
w;4;Ladder;
w;4;Ladder;
w;4;Ladder;
w;2;Ladder;
w;2;Ladder;
h;1;NormalPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
BottomBun
Plate
w;1;NormalPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
BottomBun
Plate
w;1;NormalPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
BottomBun
Plate
w;1;NormalPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
w;1;NormalPlatform;
Plate
w;1;NormalPlatform;
w;1;NormalPlatform;
